nama,posisi,ttl,value,klub
Andritany,Kiper,26 Des 1991 (31),"Rp4,35Mlyr.",Persija Jakarta
Cahya Supriadi,Kiper,11 Feb 2003 (19),"Rp1,30Mlyr.",Persija Jakarta
Risky Sudirman,Kiper,2 Feb 2002 (20),"Rp1,30Mlyr.",Persija Jakarta
Adre Arido,Kiper,13 Agt 2003 (19),"Rp434,54Jt.",Persija Jakarta
Ondrej Kudela,Bek-Tengah,26 Mar 1987 (35),"Rp6,95Mlyr.",Persija Jakarta
Ryuji Utomo,Bek-Tengah,1 Jul 1995 (27),"Rp4,35Mlyr.",Persija Jakarta
Hansamu Yama,Bek-Tengah,16 Jan 1995 (27),"Rp3,48Mlyr.",Persija Jakarta
Muhammad Ferarri,Bek-Tengah,21 Jun 2003 (19),"Rp1,30Mlyr.",Persija Jakarta
Otávio Dutra,Bek-Tengah,22 Nov 1983 (39),"Rp434,54Jt.",Persija Jakarta
Maman Abdurahman,Bek-Tengah,12 Mei 1982 (40),"Rp173,82Jt.",Persija Jakarta
Firza Andika,Bek-Kiri,11 Mei 1999 (23),"Rp3,48Mlyr.",Persija Jakarta
Rezaldi Hehanusa,Bek-Kiri,7 Nov 1995 (27),"Rp2,17Mlyr.",Persija Jakarta
Frengky Missa,Bek-Kiri,20 Feb 2004 (18),"Rp869,08Jt.",Persija Jakarta
Rangga Widiansyah,Bek-Kiri,24 Apr 2002 (20),"Rp869,08Jt.",Persija Jakarta
Hamra Hehanusa,Bek-Kiri,1 Jul 1999 (23),"Rp434,54Jt.",Persija Jakarta
Rio Fahmi,Bek-Kanan,6 Okt 2001 (21),"Rp3,04Mlyr.",Persija Jakarta
Hanif Sjahbandi,Gel. Bertahan,7 Apr 1997 (25),"Rp3,48Mlyr.",Persija Jakarta
Resky Fandi,Gel. Bertahan,6 Sep 1999 (23),"Rp2,61Mlyr.",Persija Jakarta
Syahwal Ginting,Gel. Bertahan,1 Des 2003 (19),"Rp869,08Jt.",Persija Jakarta
Tony Sucipto,Gel. Bertahan,12 Feb 1986 (36),"Rp434,54Jt.",Persija Jakarta
Hanno Behrens,Gel. Tengah,26 Mar 1990 (32),"Rp9,56Mlyr.",Persija Jakarta
Syahrian Abimanyu,Gel. Tengah,25 Apr 1999 (23),"Rp3,48Mlyr.",Persija Jakarta
Resa Aditya,Gel. Tengah,6 Mar 2004 (18),"Rp173,82Jt.",Persija Jakarta
Braif Fatari,Gel. Serang,9 Apr 2002 (20),"Rp3,04Mlyr.",Persija Jakarta
Dony Pamungkas,Gel. Serang,11 Jan 2005 (17),"Rp1,30Mlyr.",Persija Jakarta
Raka Cahyana,Gel. Serang,24 Feb 2004 (18),"Rp869,08Jt.",Persija Jakarta
Osvaldo Haay,Sayap Kiri,17 Mei 1998 (24),"Rp3,91Mlyr.",Persija Jakarta
Riko Simanjuntak,Sayap Kanan,26 Jan 1992 (30),"Rp3,91Mlyr.",Persija Jakarta
Alfriyanto Nico,Sayap Kanan,3 Apr 2003 (19),"Rp1,74Mlyr.",Persija Jakarta
Michael Krmencik,Depan-Tengah,15 Mar 1993 (29),"Rp26,07Mlyr.",Persija Jakarta
Yusuf,Depan-Tengah,12 Jun 1993 (29),"Rp5,21Mlyr.",Persija Jakarta
Ricky Cawor,Depan-Tengah,26 Jan 1998 (24),"Rp2,17Mlyr.",Persija Jakarta
Taufik Hidayat,Depan-Tengah,16 Des 1999 (23),"Rp2,17Mlyr.",Persija Jakarta
Ginanjar,Depan-Tengah,20 Nov 2003 (19),"Rp869,08Jt.",Persija Jakarta
Ernando Ari,Kiper,27 Feb 2002 (20),"Rp3,04Mlyr.",Persebaya Surabaya
Andhika Ramadhani,Kiper,5 Jan 1999 (23),"Rp2,61Mlyr.",Persebaya Surabaya
Satria Tama,Kiper,23 Jan 1997 (25),"Rp2,17Mlyr.",Persebaya Surabaya
Gede Dida,Kiper,23 Sep 1999 (23),"Rp173,82Jt.",Persebaya Surabaya
Aditya Arya,Kiper,1 Jan 2004 (18),"Rp173,82Jt.",Persebaya Surabaya
Rizky Ridho,Bek-Tengah,21 Nov 2001 (21),"Rp4,78Mlyr.",Persebaya Surabaya
Léo Lelis,Bek-Tengah,15 Nov 1993 (29),"Rp4,35Mlyr.",Persebaya Surabaya
Dandi Maulana,Bek-Tengah,17 Jun 1998 (24),"Rp2,61Mlyr.",Persebaya Surabaya
Riswan Lauhim,Bek-Tengah,8 Agt 1998 (24),"Rp434,54Jt.",Persebaya Surabaya
Altariq Ballah,Bek-Kiri,30 Des 2000 (21),"Rp2,61Mlyr.",Persebaya Surabaya
Salman Alfarid,Bek-Kiri,16 Apr 2002 (20),"Rp1,30Mlyr.",Persebaya Surabaya
Koko Ari,Bek-Kanan,9 Jan 2000 (22),"Rp3,04Mlyr.",Persebaya Surabaya
Arizky Wahyu,Bek-Kanan,7 Agt 1998 (24),"Rp1,30Mlyr.",Persebaya Surabaya
Arief Catur,Bek-Kanan,25 Jul 1999 (23),"Rp173,82Jt.",Persebaya Surabaya
Alwi Slamat,Gel. Bertahan,16 Des 1998 (24),"Rp3,04Mlyr.",Persebaya Surabaya
Muhammad Hidayat,Gel. Bertahan,26 Apr 1996 (26),"Rp2,61Mlyr.",Persebaya Surabaya
Andre Oktaviansyah,Gel. Bertahan,23 Okt 2002 (20),"Rp2,17Mlyr.",Persebaya Surabaya
Risky Dwiyan,Gel. Bertahan,1 Apr 1999 (23),"Rp173,82Jt.",Persebaya Surabaya
Brylian Aldama,Gel. Tengah,23 Feb 2002 (20),"Rp1,74Mlyr.",Persebaya Surabaya
Marselino Ferdinan,Gel. Serang,9 Sep 2004 (18),"Rp3,91Mlyr.",Persebaya Surabaya
Higor Vidal,Gel. Serang,26 Sep 1996 (26),"Rp3,04Mlyr.",Persebaya Surabaya
Michael Rumere,Gel. Serang,9 Des 1993 (29),"Rp1,30Mlyr.",Persebaya Surabaya
Saiful,Gel. Serang,9 Sep 2002 (20),"Rp869,08Jt.",Persebaya Surabaya
Wahyudi,Gel. Serang,12 Jul 2003 (19),"Rp434,54Jt.",Persebaya Surabaya
Brayen Pondaag,Gel. Serang,17 Des 2001 (21),"Rp173,82Jt.",Persebaya Surabaya
Sho Yamamoto,Sayap Kiri,12 Nov 1996 (26),"Rp3,48Mlyr.",Persebaya Surabaya
Januar Eka Ramadhan,Sayap Kiri,31 Jul 1995 (27),"Rp1,74Mlyr.",Persebaya Surabaya
Ruy Arianto,Sayap Kiri,7 Jul 2004 (18),"Rp869,08Jt.",Persebaya Surabaya
Ahmad Nufiandani,Sayap Kanan,20 Nov 1994 (28),"Rp2,17Mlyr.",Persebaya Surabaya
Supriadi,Sayap Kanan,23 Mei 2002 (20),"Rp1,74Mlyr.",Persebaya Surabaya
Bramdani,Sayap Kanan,13 Jun 2003 (19),"Rp869,08Jt.",Persebaya Surabaya
Julian Mancini,Sayap Kanan,17 Jul 1997 (25),"Rp869,08Jt.",Persebaya Surabaya
Denny Agus,Sayap Kanan,11 Agt 2000 (22),"Rp347,63Jt.",Persebaya Surabaya
Sílvio Junior,Depan-Tengah,4 Mei 1994 (28),"Rp4,35Mlyr.",Persebaya Surabaya
Widi Syarief,Depan-Tengah,31 Jul 2003 (19),"Rp173,82Jt.",Persebaya Surabaya
Muhammad Riyandi,Kiper,3 Jan 2000 (22),"Rp4,35Mlyr.",PERSIS Solo
Gianluca Pandeynuwu,Kiper,9 Nov 1997 (25),"Rp2,61Mlyr.",PERSIS Solo
Pancar,Kiper,5 Apr 2000 (22),"Rp869,08Jt.",PERSIS Solo
Jaime,Bek-Tengah,26 Feb 1990 (32),"Rp5,21Mlyr.",PERSIS Solo
Rian Miziar,Bek-Tengah,13 Okt 1990 (32),"Rp1,74Mlyr.",PERSIS Solo
Andri Ibo,Bek-Tengah,3 Apr 1990 (32),"Rp1,30Mlyr.",PERSIS Solo
Fabiano Beltrame,Bek-Tengah,29 Agt 1982 (40),"Rp434,54Jt.",PERSIS Solo
Faqih Maulana,Bek-Tengah,11 Sep 2004 (18),"Rp173,82Jt.",PERSIS Solo
Abduh Lestaluhu,Bek-Kiri,16 Okt 1993 (29),"Rp3,91Mlyr.",PERSIS Solo
Kevin Gomes,Bek-Kiri,24 Jun 1998 (24),"Rp2,17Mlyr.",PERSIS Solo
Gavin Kwan,Bek-Kanan,5 Apr 1996 (26),"Rp2,61Mlyr.",PERSIS Solo
Eky Taufik,Bek-Kanan,15 Feb 1991 (31),"Rp1,74Mlyr.",PERSIS Solo
Alfath Fathier,Bek-Kanan,6 Okt 1995 (27),"Rp1,30Mlyr.",PERSIS Solo
Yulius Pamungkas,Bek-Kanan,16 Jul 2000 (22),"Rp434,54Jt.",PERSIS Solo
Taufiq Febriyanto,Gel. Bertahan,12 Feb 1997 (25),"Rp2,61Mlyr.",PERSIS Solo
Mohammad Kanu,Gel. Bertahan,27 Apr 2001 (21),"Rp2,61Mlyr.",PERSIS Solo
Shulton Fajar,Gel. Bertahan,4 Feb 1994 (28),"Rp1,30Mlyr.",PERSIS Solo
Aulia Lubis,Gel. Bertahan,27 Nov 2003 (19),"Rp434,54Jt.",PERSIS Solo
Muhamad Valeron,Gel. Bertahan,1 Mei 2004 (18),"Rp434,54Jt.",PERSIS Solo
Chrystna Bhagascara,Gel. Tengah,22 Jun 1998 (24),"Rp3,04Mlyr.",PERSIS Solo
Sutanto Tan,Gel. Tengah,4 Mei 1994 (28),"Rp3,04Mlyr.",PERSIS Solo
Alexis Messidoro,Gel. Serang,13 Mei 1997 (25),"Rp6,08Mlyr.",PERSIS Solo
Ryo Matsumura,Gel. Serang,15 Jun 1994 (28),"Rp3,91Mlyr.",PERSIS Solo
Zanadin Fariz,Gel. Serang,31 Mei 2004 (18),"Rp1,74Mlyr.",PERSIS Solo
Arapenta Poerba,Gel. Serang,1 Nov 1998 (24),"Rp1,30Mlyr.",PERSIS Solo
Irfan Jauhari,Sayap Kiri,31 Jan 2001 (21),"Rp3,48Mlyr.",PERSIS Solo
Irfan Bachdim,Sayap Kiri,11 Agt 1988 (34),"Rp1,74Mlyr.",PERSIS Solo
Rezam Baskoro,Sayap Kiri,24 Jul 1996 (26),"Rp434,54Jt.",PERSIS Solo
Althaf Alrizky,Sayap Kanan,6 Jan 2003 (19),"Rp434,54Jt.",PERSIS Solo
Hugo Samir,Sayap Kanan,25 Jan 2005 (17),"Rp173,82Jt.",PERSIS Solo
Fernando Rodríguez,Depan-Tengah,11 Mei 1987 (35),"Rp4,35Mlyr.",PERSIS Solo
Ferdinan Sinaga,Depan-Tengah,18 Sep 1988 (34),"Rp869,08Jt.",PERSIS Solo
Samsul Arif,Depan-Tengah,14 Jan 1985 (37),"Rp869,08Jt.",PERSIS Solo
Muhammad Natshir,Kiper,12 Mar 1993 (29),"Rp2,17Mlyr.",Dewa United FC
Syaiful,Kiper,11 Jun 1993 (29),"Rp1,30Mlyr.",Dewa United FC
Ahmad Gunandi,Kiper,1 Jan 2000 (22),"Rp434,54Jt.",Dewa United FC
Mukhti Alhaq,Kiper,4 Mar 1994 (28),"Rp434,54Jt.",Dewa United FC
Risto Mitrevski,Bek-Tengah,5 Okt 1991 (31),"Rp3,91Mlyr.",Dewa United FC
Mochammad Zaenuri,Bek-Tengah,10 Jun 1995 (27),"Rp3,48Mlyr.",Dewa United FC
Risna Prahalabenta,Bek-Tengah,9 Apr 1997 (25),"Rp2,61Mlyr.",Dewa United FC
Achmad Faris,Bek-Tengah,7 Mar 1993 (29),"Rp1,74Mlyr.",Dewa United FC
Anwar Sani,Bek-Kiri,19 Nov 1995 (27),"Rp3,04Mlyr.",Dewa United FC
Nasir,Bek-Kiri,8 Okt 1995 (27),"Rp1,74Mlyr.",Dewa United FC
Jajang Sukmara,Bek-Kiri,18 Nov 1988 (34),"Rp869,08Jt.",Dewa United FC
Bhudiar Riza,Bek-Kanan,23 Mei 1995 (27),"Rp2,17Mlyr.",Dewa United FC
Mokhamad Syaifuddin,Bek-Kanan,9 Agt 1992 (30),"Rp2,17Mlyr.",Dewa United FC
Akbar Zakaria,Bek-Kanan,8 Jun 1993 (29),"Rp2,17Mlyr.",Dewa United FC
Dias Angga,Bek-Kanan,6 Mei 1989 (33),"Rp1,30Mlyr.",Dewa United FC
Lucas Ramos,Gel. Bertahan,18 Jan 1995 (27),"Rp2,17Mlyr.",Dewa United FC
Ichsan Kurniawan,Gel. Bertahan,24 Des 1995 (27),"Rp1,74Mlyr.",Dewa United FC
Asep Berlian,Gel. Bertahan,11 Jul 1990 (32),"Rp1,30Mlyr.",Dewa United FC
Reksa Maulana,Gel. Bertahan,20 Mar 1999 (23),"Rp869,08Jt.",Dewa United FC
Theo Numberi,Gel. Tengah,1 Sep 2001 (21),"Rp1,30Mlyr.",Dewa United FC
Abi Defa,Gel. Tengah,5 Okt 1999 (23),"Rp869,08Jt.",Dewa United FC
Majed Osman,Gel. Serang,9 Jun 1994 (28),"Rp5,65Mlyr.",Dewa United FC
Rangga Muslim,Gel. Serang,13 Mei 1994 (28),"Rp3,48Mlyr.",Dewa United FC
Suhandi,Gel. Serang,29 Okt 1991 (31),"Rp1,30Mlyr.",Dewa United FC
Dennish,Gel. Serang,28 Jan 2001 (21),"Rp869,08Jt.",Dewa United FC
Diya Ramadhan,Gel. Serang,27 Des 1996 (26),"Rp434,54Jt.",Dewa United FC
Feby Eka,Sayap Kiri,12 Feb 1999 (23),"Rp3,04Mlyr.",Dewa United FC
Sugeng Efendi,Sayap Kiri,31 Agt 1998 (24),"Rp2,17Mlyr.",Dewa United FC
Subhan Fajri,Sayap Kiri,13 Mei 2003 (19),"Rp1,30Mlyr.",Dewa United FC
Gufroni Al Maruf,Sayap Kanan,19 Jul 1997 (25),"Rp2,17Mlyr.",Dewa United FC
Fahmi Al-Ayyubi,Sayap Kanan,21 Des 1995 (27),"Rp2,17Mlyr.",Dewa United FC
Natanael Siringoringo,Sayap Kanan,18 Sep 1999 (23),"Rp1,30Mlyr.",Dewa United FC
Prince Kallon,Sayap Kanan,3 Feb 2002 (20),"Rp869,08Jt.",Dewa United FC
Karim Rossi,Depan-Tengah,1 Mei 1994 (28),"Rp4,35Mlyr.",Dewa United FC
Rishadi Fauzi,Depan-Tengah,4 Jul 1990 (32),"Rp869,08Jt.",Dewa United FC
Syahrul Trisna,Kiper,26 Nov 1995 (27),"Rp3,04Mlyr.",Persikabo 1973
Mochammad Dicky,Kiper,4 Jun 1997 (25),"Rp1,74Mlyr.",Persikabo 1973
Teddy Heri Setiawan,Kiper,21 Apr 1991 (31),"Rp869,08Jt.",Persikabo 1973
Husna Al Malik,Kiper,13 Jun 2003 (19),"Rp173,82Jt.",Persikabo 1973
Andy Setyo,Bek-Tengah,16 Sep 1997 (25),"Rp3,04Mlyr.",Persikabo 1973
Lucão,Bek-Tengah,10 Jul 1993 (29),"Rp2,61Mlyr.",Persikabo 1973
Didik Wahyu,Bek-Tengah,13 Feb 1994 (28),"Rp2,17Mlyr.",Persikabo 1973
Syahrul Lasinari,Bek-Tengah,24 Des 1999 (23),"Rp1,30Mlyr.",Persikabo 1973
Saepuloh Maulana,Bek-Tengah,22 Des 1988 (34),"Rp869,08Jt.",Persikabo 1973
Reynaldi Angga Surya,Bek-Tengah,8 Feb 2001 (21),"Rp173,82Jt.",Persikabo 1973
Syahrul Mustofa,Bek-Kiri,10 Sep 1997 (25),"Rp1,30Mlyr.",Persikabo 1973
Denny Arwin,Bek-Kiri,2 Mar 1993 (29),"Rp434,54Jt.",Persikabo 1973
Afin Bahrani,Bek-Kiri,22 Mei 2003 (19),"Rp173,82Jt.",Persikabo 1973
Lucky Oktavianto,Bek-Kanan,5 Okt 1993 (29),"Rp2,17Mlyr.",Persikabo 1973
Gilang Ginarsa,Bek-Kanan,14 Mei 1988 (34),"Rp1,30Mlyr.",Persikabo 1973
Dava,Bek-Kanan,12 Apr 2000 (22),"Rp1,30Mlyr.",Persikabo 1973
Manahati Lestusen,Gel. Bertahan,17 Des 1993 (29),"Rp3,48Mlyr.",Persikabo 1973
Kemaluddin,Gel. Bertahan,28 Apr 1999 (23),"Rp1,30Mlyr.",Persikabo 1973
Ryan Wiradinata,Gel. Bertahan,13 Jul 1990 (32),"Rp869,08Jt.",Persikabo 1973
Tegar Infantrie,Gel. Bertahan,8 Mei 1999 (23),"Rp869,08Jt.",Persikabo 1973
Munadi,Gel. Bertahan,25 Jan 1989 (33),"Rp434,54Jt.",Persikabo 1973
Jovanni Renaldi,Gel. Bertahan,8 Jun 2003 (19),"Rp173,82Jt.",Persikabo 1973
Bruno Dybal,Gel. Serang,3 Mar 1994 (28),"Rp3,04Mlyr.",Persikabo 1973
Roni Sugeng,Gel. Serang,18 Apr 1998 (24),"Rp3,04Mlyr.",Persikabo 1973
Tomoki Wada,Gel. Serang,30 Okt 1994 (28),"Rp2,61Mlyr.",Persikabo 1973
Dalmiansyah,Gel. Serang,14 Okt 1997 (25),"Rp434,54Jt.",Persikabo 1973
Aji Kurniawan,Sayap Kiri,1 Jul 2000 (22),"Rp1,30Mlyr.",Persikabo 1973
Ryan Kurnia,Sayap Kanan,28 Jun 1996 (26),"Rp1,74Mlyr.",Persikabo 1973
Agung Mulyadi,Sayap Kanan,23 Mar 1997 (25),"Rp869,08Jt.",Persikabo 1973
Ali Koroy,Sayap Kanan,18 Sep 2001 (21),"Rp434,54Jt.",Persikabo 1973
Bintang,Sayap Kanan,11 Apr 2004 (18),"Rp173,82Jt.",Persikabo 1973
Gustavo Tocantins,Depan-Kedua,11 Jan 1996 (26),"Rp2,17Mlyr.",Persikabo 1973
Dimas Drajad,Depan-Tengah,30 Mar 1997 (25),"Rp3,48Mlyr.",Persikabo 1973
Yandi Sofyan,Depan-Tengah,25 Mei 1992 (30),"Rp869,08Jt.",Persikabo 1973
Muhammad Ridwan,Kiper,26 Mar 1991 (31),"Rp2,61Mlyr.",PSS Sleman
Ega Rizky,Kiper,23 Agt 1992 (30),"Rp2,61Mlyr.",PSS Sleman
Jandia,Kiper,14 Jul 1987 (35),"Rp1,74Mlyr.",PSS Sleman
Try Hamdani,Kiper,3 Jan 1994 (28),"Rp1,30Mlyr.",PSS Sleman
Dimas Fani,Kiper,18 Mei 2000 (22),"Rp434,54Jt.",PSS Sleman
Tallysson,Bek-Tengah,17 Jul 1995 (27),"Rp2,61Mlyr.",PSS Sleman
Nurdiansyah,Bek-Tengah,18 Des 1998 (24),"Rp2,17Mlyr.",PSS Sleman
Dedy Gusmawan,Bek-Tengah,27 Des 1985 (37),"Rp869,08Jt.",PSS Sleman
Ifan Nanda,Bek-Tengah,29 Mar 2001 (21),"Rp869,08Jt.",PSS Sleman
Purwaka Yudhi,Bek-Tengah,11 Apr 1984 (38),"Rp434,54Jt.",PSS Sleman
Rizza Fadillah,Bek-Tengah,30 Jun 2002 (20),"Rp434,54Jt.",PSS Sleman
Derry Rachman,Bek-Kiri,15 Des 1994 (28),"Rp2,17Mlyr.",PSS Sleman
Syaiful Ramadhan,Bek-Kiri,30 Apr 1989 (33),"Rp1,30Mlyr.",PSS Sleman
Marckho Merauje,Bek-Kanan,4 Des 1994 (28),"Rp3,04Mlyr.",PSS Sleman
Bagus Nirwanto,Bek-Kanan,23 Mar 1993 (29),"Rp2,61Mlyr.",PSS Sleman
Ibrahim Sanjaya,Bek-Kanan,26 Agt 1997 (25),"Rp2,17Mlyr.",PSS Sleman
Muhammad Fariz,Bek-Kanan,2 Sep 2004 (18),"Rp173,82Jt.",PSS Sleman
Jihad Ayoub,Gel. Bertahan,30 Mar 1995 (27),"Rp4,35Mlyr.",PSS Sleman
